participant_num,speaker,start,end,duration
p24nodbot,nodbot,11.017,12.333,1.316
p24nodbot,participant,12.755,13.379,0.624
p24nodbot,nodbot,14.543,15.184,0.641
p24nodbot,nodbot,15.353,16.72,1.367
p24nodbot,nodbot,32.870,33.494,0.624
p24nodbot,nodbot,33.595,35.097,1.502
p21nodbot,participant,7.557,8.316,0.759
p21nodbot,nodbot,9.903,12.114,2.211
p21nodbot,participant,13.042,14.223,1.181
p21nodbot,participant,14.223,14.307,0.084
p21nodbot,participant,14.307,14.341,0.034
p21nodbot,nodbot,15.083,17.294,2.211
p21nodbot,participant,19.690,20.77,1.080
p21nodbot,nodbot,21.901,22.475,0.574
p21nodbot,nodbot,22.762,24.011,1.249
p21nodbot,nodbot,30.220,30.828,0.608
p21nodbot,nodbot,30.929,32.397,1.468
p16nodbot,participant,3.322,4.638,1.316
p16nodbot,participant,7.102,7.524,0.422
p16nodbot,participant,8.333,9.059,0.726
p16nodbot,nodbot,10.173,10.865,0.692
p16nodbot,nodbot,10.932,12.366,1.434
p16nodbot,participant,13.548,14.476,0.928
p16nodbot,nodbot,15.623,17.783,2.160
p16nodbot,participant,18.863,19.622,0.759
p16nodbot,participant,20.568,21.024,0.456
p16nodbot,participant,21.395,22.121,0.726
p16nodbot,participant,22.441,23.352,0.911
p16nodbot,nodbot,24.466,26.643,2.177
p16nodbot,participant,27.453,29.427,1.974
p16nodbot,participant,30.828,31.351,0.523
p16nodbot,participant,31.655,32.263,0.608
p16nodbot,participant,33.747,34.084,0.337
p16nodbot,nodbot,35.688,37.899,2.211
p6nodbot,participant,8.401,9.245,0.844
p6nodbot,nodbot,10.527,11.033,0.506
p6nodbot,nodbot,11.287,12.654,1.367
p6nodbot,participant,13.733,15.066,1.333
p6nodbot,nodbot,16.079,16.737,0.658
p6nodbot,nodbot,16.872,18.273,1.401
p6nodbot,participant,19.555,19.96,0.405
p6nodbot,nodbot,20.922,21.597,0.675
p6nodbot,nodbot,21.766,23.133,1.367
p6nodbot,participant,27.537,28.229,0.692
p6nodbot,nodbot,29.933,30.439,0.506
p6nodbot,nodbot,30.575,32.111,1.536
p26nodbot,participant,8.367,9.194,0.827
p26nodbot,nodbot,10.139,12.299,2.160
p26nodbot,participant,12.991,14.442,1.451
p26nodbot,nodbot,15.657,17.884,2.227
p26nodbot,participant,19.336,21.024,1.688
p26nodbot,nodbot,22.137,22.778,0.641
p26nodbot,nodbot,22.964,24.314,1.350
p26nodbot,participant,28.550,30.305,1.755
p26nodbot,nodbot,31.148,33.375,2.227
p11nodbot,participant,7.574,9.363,1.789
p11nodbot,nodbot,10.662,12.805,2.143
p11nodbot,participant,13.362,14.223,0.861
p11nodbot,nodbot,15.286,15.927,0.641
p11nodbot,nodbot,16.079,17.463,1.384
p11nodbot,participant,18.931,20.973,2.042
p11nodbot,participant,20.973,21.024,0.051
p11nodbot,nodbot,22.171,22.795,0.624
p11nodbot,nodbot,22.964,24.28,1.316
p11nodbot,participant,24.820,25.596,0.776
p11nodbot,nodbot,26.508,28.702,2.194
p14nodbot,participant,7.726,8.182,0.456
p14nodbot,nodbot,8.182,8.199,0.017
p14nodbot,nodbot,9.818,10.527,0.709
p14nodbot,nodbot,10.561,11.979,1.418
p14nodbot,participant,12.907,13.565,0.658
p14nodbot,nodbot,14.678,15.353,0.675
p14nodbot,nodbot,15.455,16.856,1.401
p14nodbot,participant,18.155,18.965,0.810
p14nodbot,nodbot,20.028,20.652,0.624
p14nodbot,nodbot,20.821,22.205,1.384
p14nodbot,participant,23.318,23.841,0.523
p14nodbot,nodbot,25.428,27.639,2.211
p23nodbot,participant,8.401,9.025,0.624
p23nodbot,nodbot,10.375,11.016,0.641
p23nodbot,nodbot,11.185,12.501,1.316
p23nodbot,participant,13.160,13.801,0.641
p23nodbot,nodbot,14.594,15.269,0.675
p23nodbot,nodbot,15.387,16.754,1.367
p23nodbot,participant,23.099,23.116,0.017
p23nodbot,participant,23.116,23.977,0.861
p23nodbot,participant,23.977,24.028,0.051
p23nodbot,participant,24.027,24.601,0.574
p23nodbot,nodbot,26.035,28.161,2.126
p23nodbot,participant,28.567,29.512,0.945
p23nodbot,nodbot,30.119,32.363,2.244
p9nodbot,participant,8.654,9.515,0.861
p9nodbot,nodbot,10.510,12.653,2.143
p9nodbot,nodbot,13.632,13.936,0.304
p9nodbot,participant,13.936,14.662,0.726
p9nodbot,participant,14.662,14.729,0.067
p9nodbot,participant,14.729,15.809,1.080
p9nodbot,nodbot,15.843,17.311,1.468
p9nodbot,participant,18.307,18.898,0.591
p9nodbot,nodbot,20.517,21.158,0.641
p9nodbot,nodbot,21.344,22.694,1.350
p9nodbot,participant,24.112,24.129,0.017
p9nodbot,participant,24.128,24.567,0.439
p9nodbot,participant,24.567,24.938,0.371
p9nodbot,participant,24.938,24.972,0.034
p9nodbot,nodbot,25.883,28.11,2.227
p4nodbot,participant,8.519,9.127,0.608
p4nodbot,nodbot,10.426,11.101,0.675
p4nodbot,nodbot,11.236,12.603,1.367
p4nodbot,participant,13.261,14.071,0.810
p4nodbot,nodbot,14.712,15.37,0.658
p4nodbot,nodbot,15.472,16.856,1.384
p4nodbot,participant,17.547,17.885,0.338
p4nodbot,nodbot,17.885,17.919,0.034
p4nodbot,nodbot,18.965,19.623,0.658
p4nodbot,nodbot,19.724,21.125,1.401
p4nodbot,participant,22.508,23.335,0.827
p4nodbot,nodbot,22.863,25.091,2.228
p4nodbot,nodbot,31.300,31.756,0.456
p19nodbot,participant,7.658,8.063,0.405
p19nodbot,nodbot,10.190,10.865,0.675
p19nodbot,nodbot,10.966,12.35,1.384
p19nodbot,participant,12.755,13.852,1.097
p19nodbot,nodbot,14.965,15.572,0.607
p19nodbot,nodbot,15.792,17.125,1.333
p19nodbot,participant,19.387,20.923,1.536
p19nodbot,nodbot,22.036,22.593,0.557
p19nodbot,nodbot,22.880,24.162,1.282
p19nodbot,nodbot,29.663,29.68,0.017
p19nodbot,nodbot,29.680,30.254,0.574
p19nodbot,nodbot,30.423,31.874,1.451
