participant_num,error,response_time
2,1,2.9012423132982708
2,2,3.9628180067618324
4,1,2.7723512479338854
4,2,2.690767016528925
4,3,3.5207089669421485
5,1,5.22544320510894
5,2,2.6545586476333582
5,3,4.650552317806159
6,1,3.0661715131480083
6,2,3.4374623208114095
6,3,6.232632534184827
7,1,3.610016253944403
7,2,3.446267271975959
7,3,4.118383441021788
8,1,2.4906656649136014
8,2,2.6677220135236652
8,3,2.5694845980465857
9,1,2.7763113425995503
9,2,2.9000291284748325
9,3,3.2038644605559696
10,1,2.9911718587528195
10,2,6.81910569421488
10,3,3.515994973703979
11,1,2.3977834928625104
11,2,3.5813725770097697
11,3,2.339666142749813
12,1,3.1800694958677695
14,1,2.7441095717505615
14,2,3.1783218933132975
16,1,2.9887151014274984
16,2,4.632852592036063
16,3,6.240766566491359
17,1,3.1234575507137485
17,2,3.583281743050337
18,1,2.4078100668670164
18,2,4.428570347858752
19,1,2.6315097520661173
19,2,3.8210836581517693
20,1,3.0033006784372667
20,2,6.630660991735541
21,1,2.837719008264459
21,2,4.302063110443282
22,1,2.1855245567242694
22,2,3.0793817513148003
22,3,4.157910118707729
23,1,2.4608232486852
23,2,8.184226085649888
23,3,2.247211806160781
24,1,2.122924338842976
25,1,2.6797744695717505
25,2,3.148192480841475
25,3,4.603185969196094
26,1,2.4412009624342605
26,2,3.2030930773854234
26,3,5.9652869962434245
27,1,2.052432172802405
27,2,7.054849839218637
28,1,2.551519158527425
28,2,5.592115852742305
28,3,2.865880916604052
29,1,3.411269571750564
29,2,2.133245980465812
29,3,2.4864396694214896
