speaker,start,end,duration
participant,07.557,08.316,0.759
nodbot,09.903,12.114,2.211
participant,13.042,14.223,1.181
participant,14.223,14.307,0.084
participant,14.307,14.341,0.034
nodbot,15.083,17.294,2.211
participant,19.690,20.77,1.080
nodbot,21.901,22.475,0.574
nodbot,22.762,24.011,1.249
nodbot,30.220,30.828,0.608
nodbot,30.929,32.397,1.468
