speaker,start,end,duration
participant,07.861,08.688,0.827
nodbot,09.920,10.544,0.624
nodbot,10.747,12.063,1.316
participant,12.704,13.396,0.692
participant,13.396,13.413,0.017
nodbot,14.493,15.134,0.641
nodbot,15.269,16.636,1.367
participant,18.020,18.796,0.776
participant,19.353,20.298,0.945
participant,20.973,21.884,0.911
nodbot,21.884,22.306,0.422
nodbot,22.542,23.875,1.333
participant,26.795,27.487,0.692
nodbot,28.415,28.432,0.017
nodbot,28.432,30.626,2.194
