speaker,start,end,duration
participant,09.650,10.848,1.198
nodbot,09.920,12.097,2.177
participant,12.434,13.953,1.519
nodbot,16.349,18.576,2.227
participant,19.977,22.323,2.346
nodbot,22.964,25.175,2.211
nodbot,29.630,34.254,4.624
participant,34.928,36.059,1.131
