speaker,start,end,duration
nodbot,00.655,01.246,0.591
nodbot,01.448,02.798,1.350
nodbot,06.933,07.54,0.607
nodbot,07.726,09.042,1.316
nodbot,11.084,11.692,0.608
nodbot,11.860,13.21,1.350
nodbot,18.104,18.121,0.017
nodbot,18.121,20.315,2.194
participant,26.896,34.186,7.290
participant,27.773,27.824,0.051
participant,27.824,28.87,1.046
participant,31.283,32.144,0.861
participant,33.224,35.198,1.974
nodbot,74.838,77.032,2.194
participant,81.284,82.718,1.434
participant,84.305,85.064,0.759
