speaker,start,end,duration
participant,08.418,09.785,1.367
nodbot,10.477,11.135,0.658
nodbot,11.236,12.62,1.384
participant,13.278,14.797,1.519
nodbot,15.691,17.868,2.177
participant,21.580,22.339,0.759
nodbot,23.521,25.715,2.194
participant,26.626,27.318,0.692
nodbot,28.094,30.305,2.211
