speaker,start,end,duration
participant,08.131,09.312,1.181
nodbot,10.072,10.663,0.591
nodbot,10.915,12.181,1.266
participant,12.552,14.493,1.941
nodbot,15.303,15.944,0.641
nodbot,16.147,17.48,1.333
participant,18.796,19.302,0.506
nodbot,20.770,21.361,0.591
nodbot,21.580,22.93,1.350
participant,25.310,26.474,1.164
nodbot,27.588,27.605,0.017
nodbot,27.605,28.162,0.557
nodbot,28.280,29.765,1.485
