speaker,start,end,duration
participant,08.080,09.042,0.962
nodbot,10.038,12.232,2.194
participant,13.396,14.392,0.996
nodbot,15.640,16.028,0.388
nodbot,16.349,17.682,1.333
participant,22.424,23.302,0.878
nodbot,24.888,27.082,2.194
nodbot,34.962,35.569,0.607
nodbot,35.722,37.173,1.451
