speaker,start,end,duration
participant,08.418,09.127,0.709
nodbot,10.190,12.316,2.126
participant,13.396,14.24,0.844
nodbot,15.252,17.429,2.177
participant,19.252,20.518,1.266
participant,20.517,20.551,0.034
nodbot,21.783,23.977,2.194
participant,24.652,26.154,1.502
nodbot,28.212,28.246,0.034
nodbot,28.246,30.457,2.211
participant,30.727,31.419,0.692
