speaker,start,end,duration
participant,08.114,09.312,1.198
nodbot,10.257,12.417,2.160
participant,13.362,14.628,1.266
nodbot,15.877,16.535,0.658
nodbot,16.636,18.003,1.367
participant,21.749,22.002,0.253
participant,22.829,24.247,1.418
nodbot,25.057,27.217,2.160
nodbot,27.217,27.234,0.017
participant,28.786,28.803,0.017
participant,28.803,30.288,1.485
nodbot,31.402,33.63,2.228
