speaker,start,end,duration
participant,07.574,09.363,1.789
nodbot,10.662,12.805,2.143
participant,13.362,14.223,0.861
nodbot,15.286,15.927,0.641
nodbot,16.079,17.463,1.384
participant,18.931,20.973,2.042
participant,20.973,21.024,0.051
nodbot,22.171,22.795,0.624
nodbot,22.964,24.28,1.316
participant,24.820,25.596,0.776
nodbot,26.508,28.702,2.194
