speaker,start,end,duration
participant,08.367,09.194,0.827
nodbot,10.139,12.299,2.160
participant,12.991,14.442,1.451
nodbot,15.657,17.884,2.227
participant,19.336,21.024,1.688
nodbot,22.137,22.778,0.641
nodbot,22.964,24.314,1.350
participant,28.550,30.305,1.755
nodbot,31.148,33.375,2.227
