speaker,start,end,duration
participant,07.574,08.941,1.367
participant,09.042,09.413,0.371
nodbot,10.527,11.168,0.641
nodbot,11.337,12.687,1.350
nodbot,13.818,13.953,0.135
participant,13.953,14.105,0.152
participant,14.172,15.201,1.029
nodbot,15.978,16.619,0.641
nodbot,16.737,18.121,1.384
participant,19.741,21.327,1.586
participant,22.137,22.795,0.658
nodbot,22.947,24.314,1.367
participant,26.592,27.115,0.523
nodbot,28.145,28.786,0.641
nodbot,28.853,30.372,1.519
