speaker,start,end,duration
participant,08.536,08.603,0.067
participant,08.603,09.329,0.726
nodbot,09.903,11.101,1.198
nodbot,11.287,12.603,1.316
participant,13.143,14.054,0.911
nodbot,14.948,15.589,0.641
nodbot,15.742,17.126,1.384
participant,19.572,19.589,0.017
participant,19.589,19.724,0.135
participant,19.724,19.791,0.067
participant,19.792,19.843,0.051
participant,19.842,19.859,0.017
participant,19.859,20.23,0.371
nodbot,21.209,21.817,0.608
nodbot,22.019,23.403,1.384
participant,24.584,25.276,0.692
nodbot,33.832,34.44,0.608
nodbot,34.574,35.789,1.215
participant,36.447,36.987,0.540
