speaker,start,end,duration
participant,07.658,08.063,0.405
nodbot,10.190,10.865,0.675
nodbot,10.966,12.35,1.384
participant,12.755,13.852,1.097
nodbot,14.965,15.572,0.607
nodbot,15.792,17.125,1.333
participant,19.387,20.923,1.536
nodbot,22.036,22.593,0.557
nodbot,22.880,24.162,1.282
nodbot,29.663,29.68,0.017
nodbot,29.680,30.254,0.574
nodbot,30.423,31.874,1.451
