speaker,start,end,duration
participant,08.030,09.211,1.181
nodbot,10.797,12.94,2.143
participant,13.615,14.796,1.181
nodbot,16.282,17.598,1.316
participant,18.526,20.212,1.686
nodbot,20.212,22.778,2.566
participant,22.778,23.639,0.861
nodbot,24.314,26.541,2.227
