speaker,start,end,duration
participant,08.435,09.009,0.574
nodbot,10.173,10.797,0.624
nodbot,11.017,12.333,1.316
participant,12.755,13.379,0.624
nodbot,14.543,15.184,0.641
nodbot,15.353,16.72,1.367
nodbot,32.870,33.494,0.624
nodbot,33.595,35.097,1.502
