speaker,start,end,duration
participant,08.401,09.245,0.844
nodbot,10.527,11.033,0.506
nodbot,11.287,12.654,1.367
participant,13.733,15.066,1.333
nodbot,16.079,16.737,0.658
nodbot,16.872,18.273,1.401
participant,19.555,19.96,0.405
nodbot,20.922,21.597,0.675
nodbot,21.766,23.133,1.367
participant,27.537,28.229,0.692
nodbot,29.933,30.439,0.506
nodbot,30.575,32.111,1.536
