speaker,start,end,duration
participant,08.401,09.025,0.624
nodbot,10.375,11.016,0.641
nodbot,11.185,12.501,1.316
participant,13.160,13.801,0.641
nodbot,14.594,15.269,0.675
nodbot,15.387,16.754,1.367
participant,23.099,23.116,0.017
participant,23.116,23.977,0.861
participant,23.977,24.028,0.051
participant,24.027,24.601,0.574
nodbot,26.035,28.161,2.126
participant,28.567,29.512,0.945
nodbot,30.119,32.363,2.244
