speaker,start,end,duration
participant,08.654,09.515,0.861
nodbot,10.510,12.653,2.143
nodbot,13.632,13.936,0.304
participant,13.936,14.662,0.726
participant,14.662,14.729,0.067
participant,14.729,15.809,1.080
nodbot,15.843,17.311,1.468
participant,18.307,18.898,0.591
nodbot,20.517,21.158,0.641
nodbot,21.344,22.694,1.350
participant,24.112,24.129,0.017
participant,24.128,24.567,0.439
participant,24.567,24.938,0.371
participant,24.938,24.972,0.034
nodbot,25.883,28.11,2.227
