speaker,start,end,duration
participant,07.979,08.603,0.624
nodbot,10.679,11.371,0.692
nodbot,11.557,12.873,1.316
participant,13.497,14.307,0.810
nodbot,15.843,16.467,0.624
nodbot,16.670,18.02,1.350
participant,23.572,24.534,0.962
nodbot,25.867,26.525,0.658
nodbot,26.677,28.432,1.755
nodbot,42.185,42.759,0.574
nodbot,42.927,44.395,1.468
