speaker,start,end,duration
participant,06.612,07.439,0.827
nodbot,10.021,12.232,2.211
participant,12.839,13.362,0.523
participant,13.413,14.189,0.776
participant,15.235,16.349,1.114
nodbot,17.294,18.036,0.742
nodbot,18.070,19.471,1.401
participant,20.129,20.804,0.675
nodbot,21.833,24.027,2.194
participant,26.997,28.398,1.401
nodbot,29.478,31.705,2.227
