speaker,start,end,duration
participant,08.587,09.127,0.540
nodbot,10.443,12.637,2.194
participant,13.767,14.948,1.181
nodbot,15.910,18.087,2.177
participant,18.914,19.336,0.422
nodbot,21.445,23.639,2.194
nodbot,34.743,35.131,0.388
participant,37.173,37.629,0.456
