speaker,start,end,duration
participant,08.519,09.127,0.608
nodbot,10.426,11.101,0.675
nodbot,11.236,12.603,1.367
participant,13.261,14.071,0.810
nodbot,14.712,15.37,0.658
nodbot,15.472,16.856,1.384
participant,17.547,17.885,0.338
nodbot,17.885,17.919,0.034
nodbot,18.965,19.623,0.658
nodbot,19.724,21.125,1.401
participant,22.508,23.335,0.827
nodbot,22.863,25.091,2.228
nodbot,31.300,31.756,0.456
